"","subj","block","type","session","item","alpha"
"1",2695154,"vocab1",1,1,1,0.3785
"2",2695154,"vocab1",1,1,2,0.2504
"3",2695154,"vocab1",1,1,3,0.2508
"4",2695154,"vocab1",1,1,4,0.4109
"5",2695154,"vocab1",1,1,5,0.2504
"6",2695154,"vocab1",1,1,6,0.2008
"7",2695154,"vocab1",1,1,7,0.2996
"8",2695154,"vocab1",1,1,8,0.2008
"9",2695154,"vocab1",1,1,9,0.4363
"10",2695154,"vocab1",1,1,10,0.2008
"11",2695154,"vocab1",1,1,11,0.2063
"12",2695154,"vocab1",1,1,12,0.2941
"13",2695154,"vocab1",1,1,13,0.4238
"14",2695154,"vocab1",1,1,14,0.3875
"15",2695154,"vocab1",1,1,15,0.2402
"16",2695154,"vocab1",1,1,16,0.2996
"17",2695154,"vocab1",1,1,17,0.3199
"18",2695154,"vocab1",1,1,18,0.207
"19",2695154,"vocab1",1,1,19,0.3293
"20",2695154,"vocab1",1,1,20,0.3016
"21",2695154,"vocab1",1,1,21,0.3383
"22",2695154,"vocab1",1,1,22,0.35
"23",2695154,"vocab1",1,1,23,0.3375
"24",2695154,"vocab1",1,1,24,0.418
"25",2695154,"vocab1",1,1,25,0.2742
"26",2695154,"vocab2",1,2,26,0.4238
"27",2695154,"vocab2",1,2,27,0.2035
"28",2695154,"vocab2",1,2,28,0.2754
"29",2695154,"vocab2",1,2,29,0.1512
"30",2695154,"vocab2",1,2,30,0.2008
"31",2695154,"vocab2",1,2,31,0.2754
"32",2695154,"vocab2",1,2,32,0.2008
"33",2695154,"vocab2",1,2,33,0.25
"34",2695154,"vocab2",1,2,34,0.2012
"35",2695154,"vocab2",1,2,35,0.4777
"36",2695154,"vocab2",1,2,36,0.5566
"37",2695154,"vocab2",1,2,37,0.2008
"38",2695154,"vocab2",1,2,38,0.3156
"39",2695154,"vocab2",1,2,39,0.268
"40",2695154,"vocab2",1,2,40,0.2012
"41",2695154,"vocab2",1,2,41,0.4301
"42",2695154,"vocab2",1,2,42,0.2008
"43",2695154,"vocab2",1,2,43,0.2516
"44",2695154,"vocab2",1,2,44,0.1973
"45",2695154,"vocab2",1,2,45,0.2004
"46",2695154,"vocab2",1,2,46,0.3516
"47",2695154,"vocab2",1,2,47,0.3027
"48",2695154,"vocab2",1,2,48,0.2688
"49",2695154,"vocab2",1,2,49,0.2621
"50",2695154,"vocab2",1,2,50,0.2688
"51",2695154,"vocab3",1,3,51,0.4734
"52",2695154,"vocab3",1,3,52,0.2008
"53",2695154,"vocab3",1,3,53,0.3309
"54",2695154,"vocab3",1,3,54,0.2008
"55",2695154,"vocab3",1,3,55,0.2008
"56",2695154,"vocab3",1,3,56,0.5383
"57",2695154,"vocab3",1,3,57,0.3484
"58",2695154,"vocab3",1,3,58,0.25
"59",2695154,"vocab3",1,3,59,0.2008
"60",2695154,"vocab3",1,3,60,0.1754
"61",2695154,"vocab3",1,3,61,0.2379
"62",2695154,"vocab3",1,3,62,0.334
"63",2695154,"vocab3",1,3,63,0.3074
"64",2695154,"vocab3",1,3,64,0.1527
"65",2695154,"vocab3",1,3,65,0.1543
"66",2695154,"vocab3",1,3,66,0.3199
"67",2695154,"vocab3",1,3,67,0.25
"68",2695154,"vocab3",1,3,68,0.2746
"69",2695154,"vocab3",1,3,69,0.2508
"70",2695154,"vocab3",1,3,70,0.3617
"71",2695154,"vocab3",1,3,71,0.3984
"72",2695154,"vocab3",1,3,72,0.3172
"73",2695154,"vocab3",1,3,73,0.2008
"74",2695154,"vocab3",1,3,74,0.3875
"75",2695154,"vocab3",1,3,75,0.2008
"76",2695154,"flags",2,1,1,0.2934
"77",2695154,"flags",2,1,2,0.2008
"78",2695154,"flags",2,1,3,0.275
"79",2695154,"flags",2,1,4,0.4168
"80",2695154,"flags",2,1,5,0.4312
"81",2695154,"flags",2,1,6,0.2008
"82",2695154,"flags",2,1,7,0.2547
"83",2695154,"flags",2,1,8,0.2012
"84",2695154,"flags",2,1,9,0.2371
"85",2695154,"flags",2,1,10,0.327
"86",2695154,"flags",2,1,11,0.3488
"87",2695154,"flags",2,1,12,0.4
"88",2695154,"flags",2,1,13,0.3535
"89",2695154,"flags",2,1,14,0.3309
"90",2695154,"flags",2,1,15,0.375
"91",2695154,"flags",2,1,16,0.3699
"92",2695154,"flags",2,1,17,0.2504
"93",2695154,"flags",2,1,18,0.207
"94",2695154,"flags",2,1,19,0.2008
"95",2695154,"flags",2,1,20,0.2875
"96",2695154,"flags",2,1,21,0.2617
"97",2695154,"flags",2,1,22,0.2008
"98",2695154,"flags",2,1,23,0.2676
"99",2695154,"flags",2,1,24,0.334
"100",2695154,"flags",2,1,25,0.3242
"101",2695154,"maps",3,2,1,0.3336
"102",2695154,"maps",3,2,3,0.3
"103",2695154,"maps",3,2,4,0.2504
"104",2695154,"maps",3,2,5,0.2504
"105",2695154,"maps",3,2,6,0.3813
"106",2695154,"maps",3,2,7,0.3887
"107",2695154,"maps",3,2,8,0.3246
"108",2695154,"maps",3,2,9,0.4234
"109",2695154,"maps",3,2,10,0.3254
"110",2695154,"maps",3,2,11,0.3688
"111",2695154,"maps",3,2,14,0.3953
"112",2695154,"maps",3,2,15,0.2008
"113",2695154,"maps",3,2,16,0.3
"114",2695154,"maps",3,2,17,0.3492
"115",2695154,"maps",3,2,18,0.4016
"116",2695154,"maps",3,2,19,0.3375
"117",2695154,"maps",3,2,20,0.207
"118",2695154,"maps",3,2,21,0.4313
"119",2695154,"maps",3,2,22,0.3363
"120",2695154,"maps",3,2,23,0.4988
"121",2695154,"maps",3,2,24,0.3492
"122",2695154,"maps",3,2,25,0.4332
"123",2695154,"biopsych",4,3,1,0.3617
"124",2695154,"biopsych",4,3,2,0.2504
"125",2695154,"biopsych",4,3,3,0.223
"126",2695154,"biopsych",4,3,4,0.425
"127",2695154,"biopsych",4,3,5,0.2508
"128",2695154,"biopsych",4,3,6,0.2008
"129",2695154,"biopsych",4,3,7,0.4188
"130",2695154,"biopsych",4,3,8,0.2008
"131",2695154,"biopsych",4,3,9,0.2008
"132",2695154,"biopsych",4,3,10,0.2012
"133",2695154,"biopsych",4,3,11,0.2754
"134",2695154,"biopsych",4,3,12,0.4367
"135",2695154,"biopsych",4,3,13,0.2008
"136",2695154,"biopsych",4,3,14,0.2008
"137",2695154,"biopsych",4,3,15,0.2063
"138",2695154,"biopsych",4,3,16,0.3781
"139",2695154,"biopsych",4,3,17,0.2008
"140",2695154,"biopsych",4,3,18,0.3594
"141",2695154,"biopsych",4,3,19,0.2008
"142",2695154,"biopsych",4,3,20,0.2008
"143",2695154,"biopsych",4,3,21,0.2125
"144",2695154,"biopsych",4,3,22,0.2008
"145",2695154,"biopsych",4,3,23,0.2008
