vocab1	vocab2	vocab3	flags	maps	biopsych	
60499	0.20348	0.217144	0.189408	0.244056	0.28488	0.186908
64096	0.247776	0.273448	0.311052	0.229132	0.315333333	0.268116
64189	0.231364	0.26024	0.254528	0.258508	0.28922	0.307531818
64192	0.245624	0.234088	0.2448	0.243376	0.28854	0.235524
64195	0.27412	0.248132	0.282072	0.309584	0.334636	0.25304
64198	0.301309524	0.260244	0.26658	0.269992	0.344333333	0.314947619
64213	0.269092	0.2566	0.250284	0.332172	0.366886364	0.306530435
64255	0.149008	0.140212	0.124092	0.166064	0.277584	0.168504
64285	0.225008	0.201324	0.180044	0.195332	0.339744	0.220024
64345	0.317740909	0.308616	0.30982	0.306841667	0.304026087	0.308105
64372	0.316612	0.266524	0.288456	0.24302	0.325683333	0.251152
64420	0.23718	0.197724	0.210464	0.21784	0.313252	0.284284
64423	0.27302	0.272728	0.293052	0.181184	0.345770833	0.222388
64507	0.295496	0.251596	0.256756	0.245944	0.329368182	0.290224
64537	0.24582	0.239404	0.231932	0.213632	0.299904167	0.25662
64561	0.173344	0.162404	0.206768	0.138008	0.333972	0.19386
64639	0.242992	0.282208	0.255908	0.3591	0.38866	0.215924
64714	0.345709091	0.345447826	0.30276	0.341944444	0.360453333	0.39288
64738	0.31752	0.33766	0.313816	0.286428	0.384476471	0.275736
64765	0.26792	0.232128	0.246632	0.252796	0.316692	0.276256
64771	0.250848	0.2276	0.216432	0.306136	0.334996	0.196212
64804	0.242232	0.221992	0.202504	0.167684	0.328192	0.163048
64825	0.189424	0.20492	0.230904	0.223844	0.32132	0.238912
64867	0.304596	0.282428	0.298552	0.215632	0.2963	0.291612
64870	0.337756522	0.3171125	0.3177125	0.357570588	0.3637	0.291342857
64891	0.317744	0.290756	0.301204	0.316948	0.331916	0.27955
64906	0.185468	0.18732	0.17948	0.182336	0.29752	0.21886
64942	0.254868	0.24494	0.254028	0.242064	0.3385	0.271652
64972	0.354928571	0.336008696	0.356208696	0.376761111	0.380242105	0.28518
65062	0.21844	0.257116	0.266036	0.214828	0.358875	0.279884
65065	0.240308	0.259432	0.233216	0.279568	0.321195652	0.275258333
65080	0.238256	0.2906	0.268992	0.263508	0.304044	0.313840909
65089	0.24764	0.206508	0.205032	0.238952	0.265164	0.289708
65104	0.2743	0.264072	0.260012	0.178108	0.337464	0.179348
65116	0.349478261	0.257572	0.249516	0.24202	0.340095455	0.32944375
65146	0.261304	0.24808	0.253156	0.33158	0.33826	0.240476
65161	0.288532	0.265592	0.260536	0.247124	0.330145833	0.24078
65173	0.335765	0.284804	0.297240909	0.268184	0.34568	0.363383333
65209	0.196184	0.192576	0.188816	0.170832	0.349040909	0.227116
65224	0.278848	0.27234	0.243048	0.273452	0.338491667	0.30404
65230	0.272384	0.277588	0.258412	0.330052	0.389875	0.246804
65260	0.250088	0.277324	0.283376	0.325685714	0.391864706	0.312189474
65299	0.2724	0.275964	0.289628	0.302444	0.339969565	0.224356
65623	0.23022	0.267888	0.270644	0.284768	0.320976	0.227856
65626	0.297208	0.248772	0.23384	0.307432	0.309628	0.284364
65671	0.273508	0.239984	0.229092	0.22934	0.313172	0.280348
65710	0.266104	0.223376	0.208132	0.279616	0.299084	0.299144
65731	0.264768	0.242896	0.263452	0.361608	0.352704	0.338441176
65815	0.1973	0.196248	0.1846	0.223176	0.324664	0.169852
65830	0.277216	0.211684	0.207784	0.273024	0.33946	0.338766667
65881	0.25382	0.262968	0.244664	0.312076	0.354914286	0.288296
65950	0.269136	0.23008	0.252184	0.29026	0.351972	0.224872
65983	0.271604	0.241068	0.238104	0.28104	0.324212	0.273212
66013	0.215644	0.280768	0.262676	0.186556	0.303612	0.287264
66040	0.314068	0.261768	0.276348	0.362966667	0.39344375	0.348235294
66139	0.345764	0.401333333	0.333242857	0.343296	0.383176471	0.312372727
66187	0.445158333	0.358265	0.349364706	0.356205263	0.426175	0.385163636
66190	0.255648	0.312036	0.22554	0.328208333	0.379976923	0.315817647
66211	0.275284	0.247724	0.216968	0.315224	0.38005	0.315547368
66250	0.320908	0.264364	0.281196	0.280264	0.338072	0.267268
66322	0.295308	0.24896	0.307148	0.313528	0.35729	0.291518182
66334	0.261872	0.239568	0.253964	0.232632	0.348644	0.314848
66373	0.24024	0.22606	0.243828	0.214104	0.365066667	0.25856
66397	0.290964	0.227212	0.251808	0.23776	0.306976	0.2821
2695154	0.304264	0.277448	0.282704	0.294004	0.344854545	0.2674
2703785	0.329555	0.33426	0.32163913	0.380991667	0.43161	0.394566667
2715554	0.254704	0.21316	0.205192	0.313512	0.344296	0.159256
